expected_return,volatility,sharpe,alpha_capm_mvo,alpha_hrp,alpha_mpt,alpha_risk_parity,w_SPY,w_EEM,w_VIG,w_GLD,w_BTC,w_LATAM,w_CORP,frontier_rank,frontier_pct
0.16804961138308594,0.06891430224131567,2.018769461459243,0.054691294471288475,0.3996018266963048,0.3969485148595728,0.14875836397283404,0.03128353119714054,0.026320822131605543,0.020434153199650813,0.08746236281112413,0.020740875366151854,0.6136157152968378,0.20014253999748943,11,0.11
0.1704671478130055,0.07018287910014769,2.0167258321005823,0.05814988430648951,0.37440902637496876,0.39976439641722566,0.16767669290131618,0.033464783151529794,0.028025376965899514,0.0219217889710705,0.08967764763556503,0.02140311300847177,0.6028767777558844,0.2026305125115791,12,0.12
0.17162662218895203,0.07191396950860027,1.9843029192171195,0.053297820817956164,0.2773771153199198,0.37369897788884493,0.2956260859732791,0.03916952723675774,0.03456367519216438,0.02977944155910582,0.09840859472671337,0.023267237879213892,0.5769935559103417,0.197817967495703,13,0.13
0.1720474521360611,0.07196896965680814,1.988633855090582,0.07622031020644958,0.32479682576122126,0.38939491744296845,0.20958794658936064,0.04179281146826396,0.03393790588492532,0.026253969693132765,0.09261581018645468,0.022658318563257483,0.5818328768197911,0.20090830738417462,14,0.14
0.17665798284424244,0.07216674858776247,2.0470710288969283,0.056057828485499436,0.3814299798060624,0.4314172210387946,0.13109497066964365,0.030574584403013156,0.02527503964864459,0.01920279963675215,0.09023789900094151,0.021600642013569718,0.5981496882153903,0.21495934708168868,15,0.15
0.18022487388229053,0.0738285661184174,2.0493063766005073,0.04316637855974714,0.3242781968900415,0.43048090483210727,0.2020745197181041,0.03032696048523779,0.026833272823278808,0.022564655810585338,0.09665760256761377,0.02274508546296214,0.5827530185371835,0.2181194043131386,16,0.16
0.1817151228371608,0.07496425703369751,2.038139325624677,0.05129464514813329,0.2949128559819132,0.4271694468600996,0.22662305200985397,0.03438563895965438,0.029802645239898125,0.02486535609517989,0.09869456819451303,0.02348937904883769,0.5704741092159872,0.21828830324592977,17,0.17
0.18445074101732287,0.07546716167534614,2.0608065151015755,0.026025785824856283,0.2784937339106617,0.4367404900537466,0.2587399902107354,0.027848066850947453,0.026706626098142353,0.024592983973447533,0.10257443725845457,0.023659469046792208,0.5710106231970272,0.22360779357518865,18,0.18
0.18657136588609402,0.07697302201348656,2.0480401990443795,0.047510629266818684,0.26365106517266546,0.44007636313225024,0.24876194242826571,0.03432199547618987,0.030215804415583455,0.025845837178975463,0.10239798500063381,0.024321767941728578,0.5575737922337636,0.22532281775312538,19,0.19
0.18754497478444396,0.0771875519239558,2.0549615614207624,0.05009180074649344,0.2774269980938561,0.4489839631321935,0.22349723802745694,0.03370981554149114,0.029201074088729195,0.02441302229494296,0.10118349646567282,0.024145274064225966,0.5592959399655119,0.22805137757942598,20,0.2
