scenario_id,base_model,annual_return_oos,annual_volatility_oos,sharpe_oos,max_drawdown_oos,total_return_oos
77,risk_parity,0.15914512154962956,0.05383304347135691,2.384013131539222,-0.013127502889600962,0.29491472838857713
77,hrp,0.04985079573057205,0.021720071064416438,1.2594814701709631,-0.0036361205935451224,0.08886306892155171
78,mpt,0.11783161791852237,0.07036353371450868,1.3180773370267886,-0.0266095874617317,0.21523055777223332
78,capm_mvo,0.018691360023868953,0.0857812886387499,0.006730634609288077,-0.08055165347879423,0.03293879704720637
78,risk_parity,0.04906932566109656,0.05098072453015554,0.5444427003287886,-0.03028897306559153,0.08744507348775432
78,hrp,0.01584541661542782,0.01676582603631217,-0.33454649202110687,-0.011351165845599587,0.027894032007387937
79,mpt,1.2690477836122525,0.3005459623674697,2.838765174690642,-0.036436735109122265,3.1949459841034065
79,capm_mvo,0.2658880718595453,0.11240219837546028,1.8789032749655663,-0.06144868098860434,0.5107471664710788
79,risk_parity,0.19308167217961936,0.05130595358896789,2.850895045966859,-0.011981715322276099,0.36198650638406504
79,hrp,0.06806280515339358,0.029279591670563144,1.1483511996647273,-0.007196738159418792,0.12213312969821999
80,mpt,0.40174531885000575,0.09698225708335055,3.206842800334892,-0.016823525996756072,0.8058054119989284
80,capm_mvo,0.05789386781419603,0.08267687286817191,0.288310700234191,-0.06035112088660233,0.1035033971699737
80,risk_parity,0.09831862311310346,0.056886187931733424,1.0522814592689016,-0.04100654518420532,0.17835081966854305
80,hrp,0.03366034329253087,0.014352088498100633,-0.17905128213851512,-0.0053352549104913605,0.05964708024226861
81,mpt,0.6423765286990515,0.23590511039872308,2.1655447634738,-0.12836586097474334,1.3827434111173802
81,capm_mvo,0.1496116417365252,0.10844493508402508,1.161446041802046,-0.10636152538349508,0.2763345274114286
81,risk_parity,0.1209136717168462,0.05376808331814239,1.7877357793016257,-0.037439383947718285,0.22110016789760079
81,hrp,0.031155814331998544,0.013238417908017566,0.8212510500408209,-0.003474662464890921,0.05515804895434551
82,mpt,0.16441098309342084,0.08614787200161836,1.522677895540036,-0.031210874662312316,0.30522689190227403
82,capm_mvo,0.019762186395601455,0.0971154782898196,-0.012833010675243419,-0.09186519539174576,0.03483970120497726
82,risk_parity,0.07037590015199569,0.06456639961608715,0.6931618991990283,-0.04512017793053391,0.12638942361609806
82,hrp,0.037594312112837036,0.031734405301875816,0.3783726573099222,-0.009262396249216875,0.0667146733676307
83,mpt,0.1655461940938574,0.043731786070900204,2.594083882091832,-0.009670996068009474,0.30745457338018745
