date,muy_conservador,conservador,moderado,levemente_riesgoso,muy_riesgoso,Plazo fijo UVA,Plazo fijo BADLAR,Money market,Merval
2022-05-31,275.0663057320863,278.5477989317655,280.9662578717209,283.75404859322356,286.7623074701571,255.37726742602948,195.15560903629904,184.51699854039484,230.11579093300992
2022-06-30,324.5697635148638,327.8272215172398,329.0146556173328,331.7806822981676,333.2614530113497,269.5568911911176,201.38054760240553,190.28723324916632,220.5455723270691
2022-07-31,362.17415309997483,366.1154800133018,370.49346131380446,371.88345682631444,378.3103586793698,283.1039282740176,207.82965680318046,196.1805222616422,305.51845852790575
2022-08-31,367.91568756064595,371.3816946420623,374.2716427787538,376.4696938395476,381.0091549442509,302.2479158795042,216.60763934792215,204.46617871107279,339.71042043593525
2022-09-30,386.0489442265866,389.1899376214128,391.8881694643983,392.22398298510296,393.83075814519924,323.91209272541255,225.5548623782242,213.8316233579442,346.8768513882544
2022-10-31,378.22396625362563,381.46785257205613,383.8103485545532,385.81314909575644,388.53648996402075,344.6780508235312,235.67518045931544,224.71686856095715,373.8639831801689
2022-11-30,408.4689321318121,412.20368314437013,414.8054226244516,418.94050412808843,423.6280866684881,367.565949074798,246.12115261967534,236.10977935457754,420.2097541855089
2022-12-31,428.6201522522229,432.3949658518269,435.57714637821607,437.77931116432774,440.96580334769425,388.3293695207292,256.97342262707616,248.23036191815558,503.8895360782585
2023-01-31,476.38959485529494,482.369316033601,485.2010467113604,490.2250189392096,493.99547280382296,408.7287132844934,269.1067874347956,261.8574274725392,632.2110637466014
2023-02-28,474.44870421924577,479.8729864658754,482.98554315210885,486.6252596043015,489.81299702814124,430.2937892750383,280.1116517862882,274.67691586494925,617.0279346436258
2023-03-31,540.5750009794142,548.550933472657,551.7325467597766,556.88382650903,559.4584817081708,459.22922758982185,293.0706812571934,289.5334590511501,612.6815981233282
2023-04-30,597.0728833388466,605.8242228637995,609.4329541750366,615.204094779816,618.3261591023318,489.2893044459541,305.4854772579188,303.85090719255066,742.9490158842879
2023-05-31,636.9093565604142,645.6500374859669,649.2406335622081,655.2645804805685,658.0291660208675,532.4055777476608,322.2042203218746,324.7802601719564,852.9563865289749
2023-06-30,663.0290773039652,672.8086735611035,676.6000823416421,685.4853654783634,691.573187687462,575.2988922970413,339.9996034830144,346.4463408657483,1062.9112201359228
2023-07-31,704.6173761610106,715.2237294374166,719.2512943955904,730.6159198803949,739.0736332143017,614.1414128882542,359.4805781219294,370.50372359126794,1139.8512506158827
2023-08-31,921.2943190872445,933.8568995504618,938.6691466804236,951.3178710915176,960.1523202898165,654.887288739855,380.1259342374976,398.08493410468674,1629.7275853608426
2023-09-30,954.3148834987151,966.3900906010163,970.9622660950308,980.6830979163677,987.1452262151296,711.5429498201523,402.92900397740834,428.69402627289287,1402.7376609024702
2023-10-31,1179.7388010158254,1198.4673905575307,1206.1914034774845,1213.8702820814804,1217.5223602553328,806.2528768436257,430.73090892183734,466.2122713374032,1444.0828384661877
2023-11-30,1216.1698417370387,1237.3269314525662,1245.9417571944875,1261.9797011713574,1271.9049391484084,890.8273651453026,460.95969222986383,506.577811870745,2028.1588049781274
2023-12-31,1439.7976074003345,1464.200680124767,1476.4728551050823,1497.1585606050432,1513.1617930144469,978.4382527016211,492.5267924452295,543.8318364389896,2318.172977760401
2024-01-31,1694.9924956389493,1723.893052173066,1738.3324437003762,1761.063911966208,1779.9222608309635,1172.276087113785,526.5833406102223,585.6021137639701,3143.1535787023276
2024-02-29,1532.882987327285,1558.4730132581642,1571.0271033602212,1598.6486633139127,1618.1527404375875,1434.6817826620068,558.1983760160917,625.8962721471112,2530.135863223176
2024-03-31,1539.475038930125,1569.3059071913708,1584.2228211340316,1613.7722353703396,1634.2844167647654,1663.645935827822,587.9208376587608,662.4817549354897,3025.766836287908
2024-04-30,1559.061964183362,1588.0848495205237,1603.0742014759521,1630.918399599941,1647.870391903081,1893.8819886918939,616.9906699589422,702.0961847838824,3300.298416358642
2024-05-31,1847.922698564021,1884.8717969479794,1903.9030441033058,1937.8815115478817,1961.7506285952018,2087.460211104262,637.420846952395,726.1700812904188,4117.729342745949
2024-06-30,2055.663881336166,2094.8948110810256,2114.8159627591376,2154.335661187476,2183.9310548157982,2218.2088287903475,651.3285261244645,743.8595369748883,4017.6870537967297
2024-07-31,2006.7793212638858,2047.654075138469,2067.4835154039715,2107.994899654122,2136.0739623193967,2325.7668820472522,669.5431566499688,766.3417180724689,3759.58981714019
2024-08-31,2020.764913219934,2060.3541830039626,2079.2789264221647,2120.619921750463,2148.7040494953676,2424.8889419943166,687.1557746236532,789.8424265669448,4282.666218510192
2024-09-30,1954.6322157012355,1995.5371824224667,2014.0392049556226,2057.444642786415,2086.255215548,2520.8447310294687,706.1326793660922,815.1521931366595,4232.388248459545
2024-10-31,1817.5355724375843,1856.8150501057341,1876.7736654306311,1915.819545177373,1941.9741960658148,2629.443929620574,726.4154531360581,841.206677959962,4609.75478393738
